rowId,gasDay,zoneCode,zoneName,largeUser,distribution,other,total
3180,2022-11-14,TL,Telfer,14.4,0,0.4,14.8
3181,2022-11-15,DM,Dampier,188.1,0,2.5,190.6
3182,2022-11-15,GO,Goldfields,45.7,0.3,66.6,112.6
3183,2022-11-15,KG,Kalgoorlie,21,0.4,0.2,21.6
3184,2022-11-15,KA,Karratha,37,0,4.4,41.4
3185,2022-11-15,MT,Metro,258,34.3,6.8,299.1
3186,2022-11-15,MW,Mid-West,0,0,2.1,2.1
3187,2022-11-15,PR,Parmelia,0.5,18,4.7,23.2
3188,2022-11-15,PI,Pilbara,58,0,0,58
3189,2022-11-15,SW,South-West,288.5,15.3,17.1,320.9
3190,2022-11-15,TL,Telfer,10.4,0,0.5,10.9
3191,2022-11-16,DM,Dampier,185.7,0,2.4,188.1
3192,2022-11-16,GO,Goldfields,43.8,0.3,62.3,106.4
3193,2022-11-16,KG,Kalgoorlie,12,0.4,0.2,12.6
3194,2022-11-16,KA,Karratha,35.3,0,4.8,40.1
3195,2022-11-16,MT,Metro,257.1,37.2,3.6,297.9
3196,2022-11-16,MW,Mid-West,0,0,3.2,3.2
3197,2022-11-16,PR,Parmelia,0.4,17.9,4.7,23
3198,2022-11-16,PI,Pilbara,63.8,0,0,63.8
3199,2022-11-16,SW,South-West,294.3,17.6,17.4,329.3
3200,2022-11-16,TL,Telfer,6.4,0,0.5,6.9
3201,2022-11-17,DM,Dampier,178.5,0,2.8,181.3
3202,2022-11-17,GO,Goldfields,46.4,0.3,59.9,106.6
3203,2022-11-17,KG,Kalgoorlie,17.3,0.4,0.2,17.9
3204,2022-11-17,KA,Karratha,34.5,0,4.9,39.4
3205,2022-11-17,MT,Metro,232.4,42.4,1.3,276.1
3206,2022-11-17,MW,Mid-West,0,0,4.3,4.3
3207,2022-11-17,PR,Parmelia,0.6,21.6,4.7,26.9
3208,2022-11-17,PI,Pilbara,61.1,0,0,61.1
3209,2022-11-17,SW,South-West,310.6,19.6,17.2,347.4
3210,2022-11-17,TL,Telfer,6.3,0,0.5,6.8
3211,2022-11-18,DM,Dampier,174.3,0,2.5,176.8
3212,2022-11-18,GO,Goldfields,41.5,0.3,59.6,101.4
3213,2022-11-18,KG,Kalgoorlie,24.1,0.5,0.2,24.8
3214,2022-11-18,KA,Karratha,34.6,0,4.3,38.9
3215,2022-11-18,MT,Metro,262.2,48.6,5.9,316.7
3216,2022-11-18,MW,Mid-West,0,0,4.3,4.3
3217,2022-11-18,PR,Parmelia,0.5,19.9,4.7,25.1
3218,2022-11-18,PI,Pilbara,60.5,0,0,60.5
3219,2022-11-18,SW,South-West,317.8,15.6,16.9,350.3
3220,2022-11-18,TL,Telfer,6.4,0,0.5,6.9
3221,2022-11-19,DM,Dampier,178.5,0,1.4,179.9
3222,2022-11-19,GO,Goldfields,40.2,0.3,61.8,102.3
3223,2022-11-19,KG,Kalgoorlie,15,0.5,0.2,15.7
3224,2022-11-19,KA,Karratha,36.4,0,4,40.4
3225,2022-11-19,MT,Metro,266.4,45,6.4,317.8
3226,2022-11-19,MW,Mid-West,0,0,4.4,4.4
3227,2022-11-19,PR,Parmelia,0.4,19.7,4.9,25
3228,2022-11-19,PI,Pilbara,58.6,0,0,58.6
3229,2022-11-19,SW,South-West,303.1,14.7,17.1,334.9
3230,2022-11-19,TL,Telfer,6.1,0,0.5,6.6
3231,2022-11-20,DM,Dampier,183.2,0,2.3,185.5
3232,2022-11-20,GO,Goldfields,34.9,0.3,63.7,98.9
3233,2022-11-20,KG,Kalgoorlie,19.6,0.5,0.2,20.3
3234,2022-11-20,KA,Karratha,37.1,0,4.3,41.4
3235,2022-11-20,MT,Metro,257.8,45.2,6.7,309.7
3236,2022-11-20,MW,Mid-West,0,0,4.4,4.4
3237,2022-11-20,PR,Parmelia,0.7,18.9,4.6,24.2
